,Sex,Pclass,Age,Fare,Embarked,TicketTitles,Titles,FamilyType,CabinTitles,Prediction
321,0.0,3.0,25.0,7.2292,1.0,1.0,1.0,0.0,7.0,0.0
322,0.0,2.0,26.0,13.0,2.0,1.0,1.0,0.0,7.0,0.0
323,0.0,1.0,33.0,26.55,2.0,1.0,1.0,0.0,1.0,0.0
324,1.0,1.0,39.0,211.3375,2.0,1.0,3.0,0.0,1.0,1.0
325,0.0,3.0,23.0,7.05,2.0,6.0,1.0,0.0,1.0,0.0
326,1.0,2.0,12.0,39.0,2.0,1.0,3.0,3.0,7.0,0.0
327,0.0,1.0,46.0,79.2,1.0,2.0,1.0,0.0,1.0,0.0
328,0.0,2.0,29.0,26.0,2.0,1.0,1.0,1.0,1.0,0.0
329,0.0,2.0,21.0,13.0,2.0,1.0,1.0,0.0,1.0,0.0
330,1.0,2.0,48.0,36.75,2.0,3.0,2.0,2.0,1.0,1.0
331,0.0,1.0,39.0,29.7,1.0,2.0,1.0,0.0,6.0,0.0
332,0.0,3.0,30.272590361445783,7.225,1.0,1.0,1.0,0.0,1.0,0.0
333,1.0,3.0,19.0,15.7417,1.0,1.0,2.0,2.0,1.0,1.0
334,0.0,3.0,27.0,7.8958,2.0,1.0,1.0,0.0,1.0,0.0
335,0.0,1.0,30.0,26.0,2.0,1.0,1.0,0.0,2.0,0.0
336,0.0,2.0,32.0,13.0,2.0,1.0,1.0,0.0,1.0,0.0
337,0.0,3.0,39.0,7.2292,1.0,1.0,1.0,2.0,1.0,0.0
338,0.0,2.0,25.0,31.5,2.0,3.0,1.0,0.0,1.0,0.0
339,0.0,3.0,30.272590361445783,7.2292,1.0,1.0,4.0,0.0,1.0,0.0
340,0.0,2.0,18.0,10.5,2.0,3.0,1.0,0.0,1.0,0.0
341,0.0,3.0,32.0,7.5792,2.0,1.0,1.0,0.0,1.0,0.0
342,0.0,3.0,30.272590361445783,69.55,2.0,8.0,1.0,10.0,1.0,1.0
343,1.0,1.0,58.0,512.3292,1.0,2.0,2.0,1.0,3.0,1.0
344,0.0,3.0,30.272590361445783,14.5,2.0,4.0,4.0,2.0,1.0,0.0
345,1.0,3.0,16.0,7.65,2.0,1.0,3.0,0.0,1.0,1.0
346,0.0,2.0,26.0,13.0,2.0,1.0,1.0,0.0,1.0,0.0
347,1.0,3.0,38.0,7.2292,1.0,1.0,2.0,0.0,1.0,1.0
348,0.0,2.0,24.0,13.5,2.0,1.0,1.0,0.0,1.0,0.0
349,1.0,2.0,31.0,21.0,2.0,11.0,3.0,0.0,1.0,1.0
350,1.0,1.0,45.0,63.3583,1.0,2.0,2.0,1.0,4.0,1.0
351,0.0,2.0,25.0,10.5,2.0,11.0,1.0,0.0,1.0,0.0
352,0.0,2.0,18.0,73.5,2.0,7.0,1.0,0.0,1.0,0.0
353,0.0,2.0,49.0,65.0,2.0,1.0,1.0,3.0,1.0,0.0
354,1.0,3.0,0.17,20.575,2.0,3.0,3.0,3.0,1.0,1.0
355,0.0,1.0,50.0,26.0,2.0,1.0,1.0,0.0,5.0,0.0
356,1.0,1.0,59.0,51.4792,2.0,1.0,2.0,2.0,2.0,1.0
357,0.0,3.0,30.272590361445783,7.8792,2.0,1.0,1.0,0.0,1.0,0.0
358,0.0,3.0,30.272590361445783,7.75,3.0,1.0,1.0,0.0,1.0,0.0
359,1.0,3.0,30.0,15.55,2.0,1.0,2.0,1.0,1.0,1.0
360,0.0,3.0,14.5,69.55,2.0,8.0,4.0,10.0,1.0,1.0
361,1.0,2.0,24.0,37.0042,1.0,7.0,2.0,2.0,1.0,1.0
362,1.0,2.0,31.0,21.0,2.0,8.0,2.0,0.0,1.0,1.0
363,0.0,3.0,27.0,8.6625,2.0,1.0,1.0,0.0,1.0,0.0
364,1.0,1.0,25.0,55.4417,1.0,1.0,2.0,1.0,5.0,1.0
365,1.0,3.0,30.272590361445783,69.55,2.0,8.0,2.0,10.0,1.0,1.0
366,0.0,3.0,30.272590361445783,14.4583,1.0,1.0,1.0,1.0,1.0,0.0
367,1.0,3.0,22.0,39.6875,2.0,1.0,3.0,0.0,1.0,1.0
368,1.0,1.0,45.0,59.4,1.0,1.0,2.0,1.0,1.0,1.0
369,0.0,2.0,29.0,13.8583,1.0,9.0,1.0,0.0,1.0,0.0
370,0.0,2.0,21.0,11.5,2.0,1.0,1.0,1.0,1.0,0.0
371,1.0,1.0,31.0,134.5,1.0,1.0,3.0,0.0,5.0,1.0
372,0.0,1.0,49.0,0.0,2.0,1.0,1.0,0.0,3.0,0.0
373,0.0,2.0,44.0,13.0,2.0,1.0,1.0,0.0,1.0,0.0
374,1.0,1.0,54.0,81.8583,2.0,1.0,2.0,2.0,6.0,1.0
375,1.0,1.0,45.0,262.375,1.0,2.0,3.0,0.0,1.0,1.0
376,1.0,3.0,22.0,8.6625,2.0,1.0,3.0,2.0,1.0,1.0
377,0.0,2.0,21.0,11.5,2.0,1.0,1.0,0.0,1.0,0.0
378,0.0,1.0,55.0,50.0,2.0,1.0,1.0,0.0,2.0,0.0
379,0.0,3.0,5.0,31.3875,2.0,1.0,4.0,6.0,1.0,1.0
380,0.0,3.0,30.272590361445783,7.75,3.0,1.0,1.0,0.0,1.0,0.0
381,0.0,3.0,26.0,7.8792,3.0,1.0,1.0,0.0,1.0,0.0
382,1.0,3.0,30.272590361445783,14.5,2.0,1.0,2.0,0.0,1.0,1.0
383,1.0,3.0,19.0,16.1,2.0,1.0,2.0,1.0,1.0,1.0
384,0.0,2.0,30.272590361445783,12.875,2.0,9.0,1.0,0.0,1.0,0.0
385,1.0,2.0,24.0,65.0,2.0,1.0,3.0,3.0,1.0,1.0
386,0.0,3.0,24.0,7.775,2.0,1.0,1.0,0.0,1.0,0.0
387,0.0,2.0,57.0,13.0,2.0,1.0,1.0,0.0,1.0,0.0
388,0.0,3.0,21.0,7.75,3.0,1.0,1.0,0.0,1.0,0.0
389,0.0,3.0,6.0,21.075,2.0,1.0,4.0,4.0,1.0,0.0
390,0.0,1.0,23.0,93.5,2.0,1.0,1.0,0.0,3.0,0.0
391,1.0,1.0,51.0,39.4,2.0,2.0,2.0,1.0,4.0,1.0
392,0.0,3.0,13.0,20.25,2.0,3.0,4.0,2.0,1.0,1.0
393,0.0,2.0,47.0,10.5,2.0,3.0,1.0,0.0,1.0,0.0
394,0.0,3.0,29.0,22.025,2.0,1.0,1.0,4.0,1.0,0.0
395,1.0,1.0,18.0,60.0,2.0,1.0,2.0,1.0,2.0,1.0
396,0.0,3.0,24.0,7.25,3.0,1.0,1.0,0.0,1.0,0.0
397,1.0,1.0,48.0,79.2,1.0,1.0,2.0,2.0,3.0,1.0
398,0.0,3.0,22.0,7.775,2.0,1.0,1.0,0.0,1.0,0.0
399,0.0,3.0,31.0,7.7333,3.0,1.0,1.0,0.0,1.0,0.0
400,1.0,1.0,30.0,164.8667,2.0,1.0,3.0,0.0,2.0,1.0
401,0.0,2.0,38.0,21.0,2.0,1.0,1.0,1.0,1.0,0.0
402,1.0,1.0,22.0,59.4,1.0,1.0,3.0,1.0,1.0,1.0
403,0.0,1.0,17.0,47.1,2.0,1.0,1.0,0.0,1.0,0.0
404,0.0,1.0,43.0,27.7208,1.0,1.0,1.0,1.0,4.0,0.0
405,0.0,2.0,20.0,13.8625,1.0,9.0,1.0,0.0,4.0,1.0
406,0.0,2.0,23.0,10.5,2.0,1.0,1.0,1.0,1.0,0.0
407,0.0,1.0,50.0,211.5,1.0,1.0,1.0,2.0,2.0,1.0
408,1.0,3.0,30.272590361445783,7.7208,3.0,1.0,3.0,0.0,1.0,1.0
409,1.0,3.0,3.0,13.775,2.0,6.0,3.0,2.0,1.0,1.0
410,1.0,3.0,30.272590361445783,7.75,3.0,1.0,3.0,0.0,1.0,1.0
411,1.0,1.0,37.0,90.0,3.0,1.0,2.0,1.0,2.0,1.0
412,1.0,3.0,28.0,7.775,2.0,1.0,3.0,0.0,1.0,1.0
413,0.0,3.0,30.272590361445783,8.05,2.0,4.0,1.0,0.0,1.0,0.0
414,1.0,1.0,39.0,108.9,1.0,2.0,17.0,0.0,2.0,1.0
415,0.0,3.0,38.5,7.25,2.0,6.0,1.0,0.0,1.0,0.0
416,0.0,3.0,30.272590361445783,8.05,2.0,1.0,1.0,0.0,1.0,0.0
417,0.0,3.0,30.272590361445783,22.3583,1.0,1.0,4.0,2.0,1.0,0.0
